,id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,pub_rec_bankruptcies
2041,1041438,18000.0,18000.0,17975.0, 36 MONTHS,7.9,563.23,A,A4,NESTLE USA,4 YEARS,RENT,50000.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,432XX,OH,15.07,0,2005-03-01,0,8,0,10498,68.6,24,0.0,0.0,8004.08,7992.99,6010.44,1305.44,0.0,688.2,6.97,2013-01-01,563.23,2013-06-01,0.0
2046,1037138,15000.0,15000.0,15000.0, 60 MONTHS,12.69,338.93,B,B5,TAURUS DISPLAY CORPORATION,5 YEARS,RENT,60000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,080XX,NJ,4.68,0,2000-04-01,2,8,1,8319,46.7,13,0.0,0.0,2366.28,2366.28,1299.47,1066.81,0.0,0.0,0.0,2012-07-01,338.93,2016-05-01,1.0
2056,1041173,7500.0,7500.0,7500.0, 36 MONTHS,12.69,251.59,B,B5,TRANSPORTATION SECURITY ADMINISTRATION,9 YEARS,RENT,40000.0,NOT VERIFIED,2011-11-01,CHARGED OFF,DEBT_CONSOLIDATION,282XX,NC,15.21,0,2000-07-01,0,9,1,8144,62.2,19,0.0,0.0,5767.89,5767.89,4013.53,1251.8,0.0,502.56,4.845,2013-09-01,251.59,2014-02-01,1.0
2059,1040959,8000.0,8000.0,8000.0, 60 MONTHS,19.03,207.66,E,E2,USMC,10+ YEARS,RENT,108000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,OTHER,967XX,HI,17.3,0,2002-06-01,1,11,0,16619,45.8,23,0.0,0.0,2504.8,2504.8,776.19,1299.65,14.91465996,414.04,3.87,2012-11-01,209.43,2013-03-01,0.0
2063,1037687,20000.0,20000.0,19975.0, 60 MONTHS,19.91,528.88,E,E4,MID TOWN CORPORATION,1 YEAR,RENT,41600.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,111XX,NY,15.35,0,2002-06-01,0,9,0,13318,78.3,17,0.0,0.0,14234.29,14216.52,5461.61,6697.8,0.0,2074.88,20.7488,2013-11-01,528.88,2014-05-01,0.0
2072,1040854,4000.0,4000.0,4000.0, 36 MONTHS,11.71,132.31,B,B3,"MORTON GRINDING, INC.",6 YEARS,RENT,32993.73,NOT VERIFIED,2011-11-01,CHARGED OFF,CREDIT_CARD,913XX,CA,12.37,0,2005-02-01,0,12,0,8512,58.7,16,0.0,0.0,3266.75,3266.75,2376.27,646.62,0.0,243.86,2.2362,2013-11-01,132.31,2015-11-01,0.0
2080,1040729,16250.0,16250.0,16250.0, 36 MONTHS,12.42,543.0,B,B4,WELLS FARGO BANK ,5 YEARS,RENT,53000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,CREDIT_CARD,945XX,CA,15.94,0,2003-01-01,1,14,0,20201,37.2,30,0.0,0.0,6129.7,6129.7,3921.24,1499.96,0.0,708.5,6.83,2012-10-01,543.0,2013-03-01,0.0
2090,1040538,8300.0,8300.0,8300.0, 36 MONTHS,8.9,263.56,A,A5,PF CHANGS,< 1 YEAR,RENT,30000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,708XX,LA,3.8,0,2006-01-01,0,14,0,4178,36.0,20,0.0,0.0,5145.92,5145.92,4076.93,817.74,0.0,251.25,2.63,2013-06-01,527.12,2013-10-01,0.0
2091,1040671,7000.0,7000.0,7000.0, 36 MONTHS,9.91,225.58,B,B1,,,RENT,22776.0,VERIFIED,2011-11-01,CHARGED OFF,OTHER,660XX,KS,12.22,1,1984-08-01,1,8,0,2623,65.6,28,0.0,0.0,7604.58,7604.58,6325.49,1107.73,0.0,171.36,28.8792,2014-09-01,225.58,2014-11-01,0.0
2093,1040679,35000.0,35000.0,34987.27101, 60 MONTHS,19.91,925.54,E,E4,,7 YEARS,MORTGAGE,175000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,HOME_IMPROVEMENT,816XX,CO,11.2,0,1994-04-01,2,3,0,28240,94.1,26,0.0,0.0,16760.35,16727.3,5816.81,9265.61,0.0,1677.93,16.7793,2013-09-01,200.64,2013-11-01,0.0
2094,1040663,18000.0,18000.0,18000.0, 60 MONTHS,17.27,449.97,D,D3,HARLEYSVILLE INSURANCE COMPANY,7 YEARS,RENT,42000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,193XX,PA,19.83,0,2001-11-01,0,10,0,23240,64.4,25,0.0,0.0,8472.77,8472.77,3638.7,3992.09,0.0,841.98,7.99,2013-05-01,449.97,2013-10-01,0.0
2102,1037108,25000.0,25000.0,25000.0, 60 MONTHS,17.58,629.14,D,D4,CLTCEC,3 YEARS,RENT,60000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,918XX,CA,5.68,0,2000-11-01,1,4,0,4666,31.0,10,0.0,0.0,27712.53,27712.53,14617.01,11147.5,61.4585002,1886.56,339.5808,2015-05-01,629.14,2015-12-01,0.0
2104,1040421,30000.0,30000.0,29700.0, 60 MONTHS,20.89,809.75,F,F1,CALIFORNIA HIGHWAY PATROL,5 YEARS,MORTGAGE,100000.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,923XX,CA,24.14,2,1998-01-01,0,13,0,22499,84.6,43,0.0,0.0,7279.83,7207.11,2772.17,4507.66,0.0,0.0,0.0,2012-09-01,809.75,2016-05-01,0.0
2109,1038627,35000.0,35000.0,34961.84689, 60 MONTHS,18.64,901.01,E,E1,AMERICAN FUNDS SERVICE COMPANY,10+ YEARS,RENT,85602.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,928XX,CA,20.66,0,1988-11-01,1,12,0,14249,59.6,14,0.0,0.0,12612.45,12571.34,5535.28,7066.54,0.0,10.63,0.0,2013-02-01,901.01,2016-05-01,0.0
2118,1033722,12000.0,12000.0,11925.0, 60 MONTHS,15.27,287.19,C,C4,UNIVERSIRY OF PITTSBURGH,10+ YEARS,MORTGAGE,54000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,152XX,PA,12.47,0,1999-09-01,1,12,0,15378,66.6,29,0.0,0.0,2078.48,2065.53,686.54,742.66,0.0,649.28,6.13,2012-05-01,287.19,2012-10-01,0.0
2129,1031022,18725.0,18725.0,18450.0, 60 MONTHS,17.27,468.09,D,D3,CITY OF PHOENIX FIRE DEPT,9 YEARS,MORTGAGE,52000.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,850XX,AZ,23.35,0,1993-11-01,0,9,0,8326,56.6,24,0.0,0.0,21664.05,21345.58,12842.94,8773.6,0.0,47.51,8.551800001,2015-12-01,300.0,2016-05-01,0.0
2133,1039496,16500.0,16500.0,16475.0, 60 MONTHS,11.71,364.62,B,B3,KOHLS DEPT STORES,5 YEARS,MORTGAGE,33000.0,VERIFIED,2011-12-01,CHARGED OFF,SMALL_BUSINESS,302XX,GA,3.13,0,2003-10-01,0,8,0,2096,23.0,17,0.0,0.0,16874.96,16849.42,11106.97,4911.09,0.0,856.9,154.242,2015-08-01,364.62,2015-01-01,0.0
2186,1039330,8000.0,8000.0,8000.0, 36 MONTHS,7.51,248.89,A,A3,WESTERN DIGITAL,2 YEARS,RENT,42000.0,NOT VERIFIED,2011-11-01,CHARGED OFF,DEBT_CONSOLIDATION,906XX,CA,7.71,0,2000-05-01,0,4,0,11720,59.2,8,0.0,0.0,6374.09,6374.09,5184.38,784.3,0.0,405.41,3.8829,2013-11-01,248.89,2014-04-01,0.0
2192,1039279,21200.0,21200.0,21200.0, 36 MONTHS,12.42,708.41,B,B4,,10+ YEARS,MORTGAGE,60000.0,VERIFIED,2011-12-01,CHARGED OFF,SMALL_BUSINESS,793XX,TX,21.18,0,1992-01-01,0,7,0,6334,64.6,10,0.0,0.0,12096.57,12096.57,8451.46,2877.43,35.41121963,732.27,7.49,2013-04-01,1452.24,2013-09-01,0.0
2194,1039478,21500.0,21500.0,21475.0, 60 MONTHS,19.03,558.08,E,E2,CITIZENS BANK,4 YEARS,RENT,43000.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,021XX,MA,18.28,0,2006-10-01,0,11,0,11943,51.1,12,0.0,0.0,26785.09,26754.12,15422.96,11362.13,0.0,0.0,0.0,2016-01-01,558.08,2016-04-01,0.0
2203,1039258,5000.0,5000.0,5000.0, 36 MONTHS,6.62,153.52,A,A2,SEMINOLE COUNTY PUBLIC SCHOOLS FOOD SERV,10+ YEARS,RENT,37513.0,NOT VERIFIED,2011-11-01,CHARGED OFF,DEBT_CONSOLIDATION,327XX,FL,10.84,0,1992-04-01,1,10,0,17844,54.1,19,0.0,0.0,919.38,919.38,764.67,154.71,0.0,0.0,0.0,2012-06-01,153.52,2014-02-01,0.0
2216,1038907,7200.0,7200.0,7200.0, 36 MONTHS,13.49,244.3,C,C1,GIFTS BY DESIGN,< 1 YEAR,MORTGAGE,114000.0,SOURCE VERIFIED,2011-11-01,CHARGED OFF,DEBT_CONSOLIDATION,981XX,WA,12.12,0,2000-08-01,1,9,0,81405,92.4,17,0.0,0.0,5618.9,5618.9,4249.97,1354.9,0.0,14.03,0.0,2013-11-01,244.3,2016-05-01,0.0
2230,1038475,21000.0,21000.0,21000.0, 60 MONTHS,20.89,566.83,F,F1,DATROSE,2 YEARS,RENT,71040.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,959XX,CA,6.52,0,1997-01-01,0,9,0,11639,94.6,19,0.0,0.0,8407.58,8407.58,2903.76,4454.76,0.0,1049.06,10.1,2013-01-01,566.83,2013-06-01,0.0
2235,1032033,10000.0,10000.0,10000.0, 36 MONTHS,14.27,343.09,C,C2,ADLIS,6 YEARS,MORTGAGE,60000.0,VERIFIED,2011-11-01,CHARGED OFF,DEBT_CONSOLIDATION,604XX,IL,23.1,0,1997-06-01,1,12,0,9881,72.7,23,0.0,0.0,1370.2,1370.2,911.38,458.82,0.0,0.0,0.0,2012-04-01,343.09,2016-05-01,0.0
2248,1028642,7750.0,7750.0,7750.0, 36 MONTHS,14.27,265.9,C,C2,VOICE PREPAID,5 YEARS,RENT,26400.0,SOURCE VERIFIED,2011-11-01,CHARGED OFF,DEBT_CONSOLIDATION,021XX,MA,17.34,0,2002-02-01,0,6,0,7000,52.2,11,0.0,0.0,2484.52,2484.52,1446.22,676.66,0.0,361.64,3.47,2012-08-01,265.9,2016-05-01,0.0
2259,1038617,18825.0,18825.0,18800.0, 60 MONTHS,22.06,520.57,F,F4,TARGET DC,4 YEARS,RENT,50000.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,924XX,CA,22.42,0,2005-10-01,2,9,0,12594,92.6,19,0.0,0.0,16889.86,16867.44,6376.72,8719.81,0.0,1793.33,17.93330001,2014-06-01,520.57,2015-10-01,0.0
2260,1038476,10000.0,10000.0,10000.0, 36 MONTHS,7.51,311.11,A,A3,NUHORIZONS ELECTRONICS,2 YEARS,RENT,80000.0,NOT VERIFIED,2011-11-01,CHARGED OFF,DEBT_CONSOLIDATION,018XX,MA,19.56,0,1983-07-01,2,13,0,21640,72.2,23,0.0,0.0,7777.75,7777.75,6672.99,1072.48,15.52649031,16.75,0.0,2014-01-01,311.11,2016-04-01,0.0
2264,1038609,20450.0,20450.0,20400.0, 60 MONTHS,18.64,526.45,E,E1,CSU MONTEREY BAY,< 1 YEAR,RENT,52008.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,950XX,CA,23.14,0,1997-07-01,0,8,0,17779,78.5,40,0.0,0.0,8359.47,8339.11,3228.86,4130.87,0.0,999.74,9.53,2013-02-01,1052.9,2013-07-01,0.0
2265,956756,12000.0,12000.0,12000.0, 36 MONTHS,14.27,411.71,C,C2,,3 YEARS,MORTGAGE,40000.0,NOT VERIFIED,2011-11-01,CHARGED OFF,CREDIT_CARD,064XX,CT,19.77,0,2006-02-01,1,10,0,9000,43.9,14,0.0,0.0,2031.94,2031.94,963.05,683.39,0.0,385.5,4.1,2012-05-01,414.05,2012-09-01,0.0
2269,1038602,7000.0,7000.0,7000.0, 36 MONTHS,10.65,228.02,B,B2,DEPARTMENT OF THE TREASURY,2 YEARS,RENT,36475.0,NOT VERIFIED,2011-11-01,CHARGED OFF,DEBT_CONSOLIDATION,303XX,GA,21.06,0,2005-02-01,2,19,0,3976,62.4,24,0.0,0.0,1097.26,1097.26,495.88,359.08,14.9913253,227.3,2.41,2012-07-01,415.0,2012-08-01,0.0
2280,1036857,24000.0,24000.0,23725.0, 60 MONTHS,18.25,612.72,D,D5,SUPREME COURT,10+ YEARS,RENT,86779.0,VERIFIED,2011-12-01,CHARGED OFF,WEDDING,100XX,NY,18.35,0,1993-03-01,0,18,0,14905,78.5,35,0.0,0.0,9735.17,9623.43,3819.41,4758.21,0.0,1157.55,11.02,2013-03-01,29.68,2013-07-01,0.0
2288,1038273,18000.0,18000.0,18000.0, 60 MONTHS,19.03,467.23,E,E2,"POMOCO GROUP, INC.",10+ YEARS,MORTGAGE,75000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,238XX,VA,17.57,0,2000-01-01,1,9,0,11776,97.3,15,0.0,0.0,8209.47,8209.47,3569.63,4639.84,0.0,0.0,0.0,2013-06-01,300.96,2016-05-01,0.0
2316,1037730,5000.0,5000.0,5000.0, 36 MONTHS,13.49,169.66,C,C1,BIRMINGHAM COVINGTON SCHOOL,4 YEARS,OWN,36000.0,SOURCE VERIFIED,2011-11-01,CHARGED OFF,WEDDING,480XX,MI,14.33,0,2008-08-01,0,6,0,3989,72.5,8,0.0,0.0,1429.8,1429.8,763.95,422.64,0.0,243.21,2.31,2012-08-01,170.0,2012-12-01,0.0
2317,1037873,1300.0,1300.0,1300.0, 36 MONTHS,14.27,44.61,C,C2,CDM MEDIA,4 YEARS,RENT,60000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,MOVING,968XX,HI,7.8,0,2004-02-01,1,7,0,7676,97.8,8,0.0,0.0,796.46,796.46,541.96,211.31,0.0,43.19,0.5,2013-05-01,44.61,2013-10-01,0.0
2322,1037646,15000.0,15000.0,15000.0, 36 MONTHS,15.27,521.97,C,C4,R.MURPHY CO.,10+ YEARS,RENT,48000.0,NOT VERIFIED,2011-11-01,CHARGED OFF,DEBT_CONSOLIDATION,014XX,MA,18.63,0,2000-06-01,1,13,0,12313,88.6,17,0.0,0.0,4371.72,4371.72,2404.31,1243.81,0.0,723.6,7.07,2012-07-01,521.97,2014-12-01,0.0
2327,1037812,6000.0,6000.0,6000.0, 36 MONTHS,15.27,208.79,C,C4,UNITED STATES NAVY,10+ YEARS,MORTGAGE,66000.0,VERIFIED,2011-11-01,CHARGED OFF,OTHER,233XX,VA,23.38,0,2000-11-01,3,9,0,1297,11.6,37,0.0,0.0,2914.94,2914.94,2010.01,904.93,0.0,0.0,0.0,2013-02-01,208.79,2016-05-01,0.0
2333,1037540,6625.0,6625.0,6625.0, 36 MONTHS,12.69,222.24,B,B5,FEDCAP HOME CARE,3 YEARS,RENT,24947.3,NOT VERIFIED,2011-11-01,CHARGED OFF,CREDIT_CARD,100XX,NY,21.55,0,1997-04-01,1,12,0,11475,77.4,20,0.0,0.0,2439.91,2439.91,1761.95,677.96,0.0,0.0,0.0,2012-11-01,222.24,2016-04-01,0.0
2346,1037258,17400.0,17400.0,17400.0, 60 MONTHS,14.65,410.76,C,C3,FAIRLESS CITGO,4 YEARS,MORTGAGE,43000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,190XX,PA,11.25,0,1996-01-01,1,6,0,11576,69.7,17,0.0,0.0,14785.02,14785.02,8898.28,5886.74,0.0,0.0,0.0,2014-12-01,410.76,2016-05-01,0.0
2352,1037231,1100.0,1100.0,1100.0, 36 MONTHS,14.65,37.95,C,C3,ARIENS,5 YEARS,MORTGAGE,36000.0,NOT VERIFIED,2011-11-01,CHARGED OFF,VACATION,541XX,WI,12.2,0,1998-07-01,2,9,0,15876,87.2,42,0.0,0.0,151.48,151.48,99.68,51.8,0.0,0.0,0.0,2012-04-01,37.95,2016-05-01,0.0
2360,1036945,15000.0,15000.0,15000.0, 60 MONTHS,18.64,386.15,E,E1,FMC INC.,6 YEARS,OWN,50000.0,VERIFIED,2011-12-01,CHARGED OFF,CREDIT_CARD,614XX,IL,13.34,0,2000-02-01,0,12,0,16158,65.2,17,0.0,0.0,6561.47,6561.47,2943.0,3597.92,0.0,20.55,0.0,2013-05-01,386.15,2016-05-01,0.0
2367,1037033,26000.0,26000.0,25950.0, 60 MONTHS,19.03,674.89,E,E2,U.S. COAST GUARD,10+ YEARS,RENT,72000.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,206XX,MD,22.22,0,2002-01-01,1,9,0,22279,81.4,21,0.0,0.0,30039.18,29981.81,13061.84,11872.64,0.0,5104.7,918.846,2015-01-01,674.89,2016-05-01,0.0
2369,1036749,35000.0,35000.0,34972.05982, 60 MONTHS,13.49,805.17,C,C1,MIAMI-DADE FIRE RESCUE,6 YEARS,RENT,98000.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,330XX,FL,14.55,0,1997-09-01,1,7,0,26876,64.0,35,0.0,0.0,22643.25,22621.44,11261.91,8047.77,0.0,3333.57,33.1917,2013-12-01,805.17,2014-05-01,0.0
2370,1035664,5500.0,5500.0,5500.0, 60 MONTHS,19.42,143.95,E,E3,RGIS LLC,8 YEARS,RENT,25000.0,VERIFIED,2011-11-01,CHARGED OFF,OTHER,301XX,GA,10.56,0,2008-03-01,0,5,0,4816,56.7,6,0.0,0.0,4407.99,4407.99,1834.07,2035.68,0.0,538.24,5.213399998,2014-03-01,143.95,2014-08-01,0.0
2373,1037026,28000.0,28000.0,28000.0, 36 MONTHS,16.77,995.08,D,D2,NEW TRIBES MISSION,10+ YEARS,OWN,76000.0,VERIFIED,2011-11-01,CHARGED OFF,CREDIT_CARD,453XX,OH,13.78,0,1994-10-01,1,6,0,28753,96.2,17,0.0,0.0,32751.27,32751.27,24401.87,7775.23,0.0,574.17,91.5678,2014-10-01,400.0,2015-03-01,0.0
2379,1036813,10000.0,10000.0,9750.0, 36 MONTHS,11.71,330.76,B,B3,UPS,10+ YEARS,RENT,60000.0,VERIFIED,2011-11-01,CHARGED OFF,CREDIT_CARD,980XX,WA,19.92,0,1996-12-01,0,10,0,18604,82.7,18,0.0,0.0,10915.08,10642.03,9013.92,1885.04,0.0,16.12,0.0,2014-09-01,330.76,2015-02-01,0.0
2385,1036774,7000.0,7000.0,7000.0, 36 MONTHS,7.9,219.04,A,A4,WHOLE FOODS MARKET ,10+ YEARS,MORTGAGE,47000.0,NOT VERIFIED,2011-11-01,CHARGED OFF,CREDIT_CARD,945XX,CA,14.37,0,1996-05-01,2,6,0,14089,82.4,16,0.0,0.0,2188.1,2188.1,1779.84,408.26,0.0,0.0,0.0,2012-10-01,219.04,2016-05-01,0.0
2393,1036674,35000.0,35000.0,34975.0, 60 MONTHS,22.35,973.64,F,F5,,10+ YEARS,MORTGAGE,65000.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,775XX,TX,12.37,0,2004-07-01,3,12,0,15950,71.2,18,0.0,0.0,41927.68,41897.86,18860.53,20071.29,0.0,2995.86,539.2548,2015-05-01,973.64,2015-09-01,0.0
2394,1031328,1200.0,1200.0,1200.0, 36 MONTHS,18.25,43.54,D,D5,OMNICARE,4 YEARS,RENT,20400.0,VERIFIED,2011-11-01,CHARGED OFF,OTHER,450XX,OH,24.12,4,2005-04-01,3,2,0,0,0.12,8,0.0,0.0,1380.67,1380.67,990.34,356.8,0.0,33.53,0.3353,2014-07-01,43.54,2014-12-01,0.0
2395,1036707,20000.0,20000.0,20000.0, 60 MONTHS,17.58,503.32,D,D4,M & R MOTORS,1 YEAR,OWN,86124.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,900XX,CA,17.6,0,1999-01-01,1,15,0,6993,82.6,25,0.0,0.0,2183.74,2183.74,638.95,867.95,0.0,676.84,6.95,2012-03-01,503.32,2012-08-01,0.0
2396,1035592,5000.0,5000.0,5000.0, 36 MONTHS,14.27,171.55,C,C2,CELEBRITY HONDA,< 1 YEAR,RENT,24000.0,SOURCE VERIFIED,2011-11-01,CHARGED OFF,OTHER,932XX,CA,1.75,0,2008-06-01,1,6,0,233,17.9,8,0.0,0.0,694.07,694.07,281.43,232.86,14.96677354,164.82,1.71,2012-04-01,171.62,2012-08-01,0.0
2397,1036700,5400.0,5400.0,5400.0, 36 MONTHS,16.29,190.63,D,D1,WEST CORPORATION,1 YEAR,RENT,32000.0,NOT VERIFIED,2011-11-01,CHARGED OFF,MEDICAL,301XX,GA,20.03,0,2000-06-01,1,9,0,11114,89.6,21,0.0,0.0,1142.7,1142.7,727.59,415.11,0.0,0.0,0.0,2012-06-01,190.63,2016-05-01,0.0
2398,1036680,12000.0,12000.0,11950.0, 60 MONTHS,19.91,317.33,E,E4,T-MOBILE USA,6 YEARS,RENT,36500.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,336XX,FL,22.22,0,2001-08-01,0,7,0,7554,71.9,11,0.0,0.0,8543.51,8507.92,3273.36,4014.19,0.0,1255.96,12.44919999,2013-12-01,317.33,2014-04-01,0.0
2403,1036113,5050.0,5050.0,5050.0, 60 MONTHS,21.67,138.53,F,F3,STATE OF CALIFORNIA,10+ YEARS,MORTGAGE,67517.64,NOT VERIFIED,2011-11-01,CHARGED OFF,OTHER,958XX,CA,10.45,0,2005-04-01,1,3,0,365,18.2,7,0.0,0.0,2483.82,2483.82,992.43,1491.39,0.0,0.0,0.0,2013-06-01,138.53,2016-05-01,0.0
2415,1036603,12000.0,12000.0,12000.0, 60 MONTHS,8.9,248.52,A,A5,"USA PROPERTIES FUND, INC.",10+ YEARS,MORTGAGE,70000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,959XX,CA,9.65,0,1991-01-01,0,13,0,143,0.4,31,0.0,0.0,5218.7,5218.7,3583.71,1634.99,0.0,0.0,0.0,2013-10-01,38.64,2016-05-01,0.0
2420,1036305,20000.0,20000.0,19975.0, 60 MONTHS,14.27,468.17,C,C2,SERC AT FLORIDA INTERNATIONAL UNIVERSITY,10+ YEARS,MORTGAGE,60000.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,331XX,FL,7.42,0,1993-12-01,1,4,0,12367,66.8,15,0.0,0.0,15917.78,15897.99,9567.12,6324.14,0.0,26.52,0.0,2014-10-01,468.17,2016-05-01,0.0
2427,1036336,19000.0,19000.0,19000.0, 60 MONTHS,20.3,506.57,E,E5,,10+ YEARS,MORTGAGE,60000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,763XX,TX,17.24,0,1995-08-01,3,13,0,15005,79.8,19,0.0,0.0,2662.12,2662.12,758.66,1265.06,0.0,638.4,6.56,2012-04-01,506.57,2012-09-01,0.0
2429,927235,10000.0,10000.0,10000.0, 36 MONTHS,15.96,351.38,C,C5,STANFORD HOSPITAL,9 YEARS,RENT,51000.0,NOT VERIFIED,2011-11-01,CHARGED OFF,CREDIT_CARD,940XX,CA,9.39,0,2006-12-01,3,10,0,10504,89.8,12,0.0,0.0,7026.97,7026.97,4957.89,2058.11,0.0,10.97,0.0,2013-08-01,351.38,2016-05-01,0.0
2434,1035167,12600.0,12600.0,12600.0, 60 MONTHS,20.3,335.93,E,E5,TEXAS A&M UNIVERSITY,6 YEARS,MORTGAGE,65000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,CREDIT_CARD,778XX,TX,20.05,0,1989-01-01,1,9,0,24707,90.5,19,0.0,0.0,2009.82,2009.82,766.35,1243.47,0.0,0.0,0.0,2012-06-01,335.93,2016-05-01,0.0
2444,1036069,12800.0,12800.0,12800.0, 36 MONTHS,12.42,427.72,B,B4,CROWNE PLAZA,4 YEARS,RENT,38000.0,NOT VERIFIED,2011-11-01,CHARGED OFF,CREDIT_CARD,770XX,TX,22.58,0,2004-10-01,2,7,0,7829,93.2,14,0.0,0.0,11334.69,11334.69,8357.55,2318.62,21.35699383,637.16,6.203000003,2014-01-01,427.72,2014-06-01,0.0
2447,1036060,26300.0,26300.0,26300.0, 60 MONTHS,23.13,743.38,G,G2,KOPPERS,< 1 YEAR,MORTGAGE,65000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,CREDIT_CARD,439XX,OH,15.06,0,1989-04-01,0,9,0,19834,90.2,26,0.0,0.0,16354.36,16354.36,6396.84,9941.24,0.0,16.28,0.0,2013-10-01,743.38,2016-05-01,0.0
2448,1034612,18800.0,18800.0,18775.0, 60 MONTHS,20.89,507.45,F,F1,SOCIAL SECURITY ADMINISTRATION,10+ YEARS,RENT,56791.0,NOT VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,212XX,MD,14.11,1,1999-02-01,0,10,0,22908,87.4,20,0.0,0.0,8625.48,8614.08,3523.24,5089.3,0.0,12.94,0.0,2013-05-01,507.45,2016-05-01,0.0
2457,1036017,8000.0,8000.0,8000.0, 36 MONTHS,9.91,257.8,B,B1,LADIES PROFESSIONAL GOLF ASSOCIATION,4 YEARS,RENT,47000.0,NOT VERIFIED,2011-11-01,CHARGED OFF,DEBT_CONSOLIDATION,321XX,FL,22.24,0,2001-04-01,2,4,0,16649,76.7,24,0.0,0.0,1031.64,1031.64,579.04,193.13,0.0,259.47,2.72,2012-03-01,257.8,2012-08-01,0.0
2460,1018242,25000.0,25000.0,24975.0, 60 MONTHS,19.03,648.93,E,E2,ARMY FLEET SUPPORT,2 YEARS,MORTGAGE,87000.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,363XX,AL,22.25,0,2000-12-01,1,11,0,6180,24.3,28,0.0,0.0,24639.38,24614.93,11673.94,10999.35,0.0,1966.09,346.8294,2014-11-01,648.93,2015-04-01,0.0
2471,1035817,20000.0,20000.0,19975.0, 60 MONTHS,18.25,510.6,D,D5,UC HEALTH,10+ YEARS,MORTGAGE,51400.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,452XX,OH,11.49,0,1992-05-01,0,16,0,22331,84.9,46,0.0,0.0,13804.57,13787.45,5611.13,6130.48,0.0,2062.96,20.6296,2013-12-01,46.92,2014-04-01,0.0
2472,1029082,9750.0,9750.0,9750.0, 36 MONTHS,17.27,348.93,D,D3,UNION PRINTERS HOME ,4 YEARS,RENT,21600.0,SOURCE VERIFIED,2011-11-01,CHARGED OFF,DEBT_CONSOLIDATION,809XX,CO,8.56,1,2001-12-01,3,3,1,0,0.0,34,0.0,0.0,1705.09,1705.09,851.7,542.5,0.0,310.89,3.23,2012-04-01,348.93,2012-09-01,1.0
